Locus	Population	Country	Demography	Sample_size	H_expected	Num_Diff_Alleles	Allelic_Richness	Distance_Addi-Abeda	Pathogen_richness	Virus_pathogens	Non-Virus_pathogens
DQB1	Svans	Georgia	SGD	160	0.852969	10	8.81742	4249.81	201	41	154
DQB1	Punjabi	India	SGD	84	0.883717	12	11.7594	6914.72	245	51	185
DQB1	Libanese	Lebanon	SGD	382	0.757904	7	6.6334	3113.115	194	38	149
DQB1	Turks	Turkey	SGD	490	0.867415	17	12.9407	3706.95	214	41	166
DQB1	Australian aborigines (Kimberley)	Australia	RGD	82	0.682051	6	5.7677	14240.33	210	42	161
DQB1	Australian aborigines (Cape York)	Australia	SGD	198	0.81981	12	10.7261	15293.22	210	42	161
DQB1	Azoreans	Azores	SGD	462	0.891984	33	13.3576	8448.38	183	35	141
DQB1	Belgians	Belgium	SGD	76	0.879475	12	11.7192	5800.35	194	35	152
DQB1	Bulgares	Bulgaria	SGD	240	0.849236	13	10.5436	4146.576	204	39	159
DQB1	Croatian	Croatia	SGD	208	0.85649	16	11.6747	4711.727	204	38	160
DQB1	Croatian	Croatia	SGD	200	0.8381	13	11.1148	4903.65	204	38	160
DQB1	Croatian	Croatia	SGD	270	0.861956	13	11.5198	4837.89	204	38	160
DQB1	Spanish	Spain	SGD	198	0.875833	14	11.4696	6355.6	205	39	160
DQB1	Basques	Spain	RGD	310	0.741007	13	8.74718	6191.94	205	39	160
DQB1	French	France	SGD	448	0.85849	13	10.6223	6053.95	214	41	167
DQB1	French	France	SGD	468	0.862849	15	11.031	5902.63	214	41	167
DQB1	Greeks	Greece	SGD	192	0.82316	13	11.1767	4120.062	203	38	158
DQB1	Pomaki	Greece	SGD	200	0.81594	14	10.5102	4005.966	203	38	158
DQB1	Sardinians	Italy	SGD	160	0.832019	13	10.0668	5323.83	210	42	162
DQB1	Italians	Italy	SGD	196	0.847986	13	11.8934	5297.93	210	42	162
DQB1	Italians	Italy	SGD	186	0.841911	12	10.4793	5315.54	210	42	162
DQB1	Polish	Poland	SGD	198	0.869786	14	11.3657	5239.84	199	37	155
DQB1	Portuguese	Portugal	SGD	432	0.848621	15	11.3611	6757.64	203	40	157
DQB1	Portuguese	Portugal	SGD	220	0.879063	17	13.0654	6851.77	203	40	157
DQB1	Czechs	Czech Republic	SGD	70	0.849347	12	11.8806	5182.27	205	43	155
DQB1	Czech Gypsies	Czech Republic	SGD	66	0.849391	10	9.99953	5182.27	205	43	155
DQB1	Czechs	Czech Republic	SGD	212	0.871703	13	11.8018	5175.9	205	43	155
DQB1	Slovenians	Slovenia	SGD	200	0.87915	15	12.3786	4973.11	204	40	158
DQB1	Moluccans	Indonesia	RGD	92	0.765155	9	8.62897	13156.27	238	47	183
DQB1	East Timorese	East Timor	RGD	172	0.815717	10	9.01557	13445.96	234	45	182
DQB1	Papua New Guinea Lowlanders	Papua New Guinea	RGD	96	0.785389	10	9.23997	15525.67	206	41	158
DQB1	Papua New Guinea Lowlanders	Papua New Guinea	RGD	182	0.580593	9	5.17582	15621.59	206	41	158
DQB1	Papua New Guinea Highlanders	Papua New Guinea	SGD	182	0.77889	9	7.863	15103.04	206	41	158
DQB1	Wellington	New Zealand	SGD	374	0.858412	17	12.589	19487.85	188	34	147
DQB1	Filipinos	Phillipines	SGD	188	0.842714	14	11.4145	12116.54	222	43	171
DRB1	Algerians	Algeria	SGD	198	0.928227	32	20.821	4931.94	205	35	162
DRB1	Moroccans	Maroc	SGD	182	0.929356	27	20.0366	5521.7	203	40	156
DRB1	Metalsa	Maroc	SGD	198	0.905606	27	17.0065	5217.55	203	40	156
DRB1	Chaouya	Maroc	SGD	198	0.921408	28	18.9272	5416.28	203	40	156
DRB1	Moroccans	Maroc	SGD	196	0.891044	21	15.4738	5507.06	203	40	156
DRB1	Jerba berbers	Tunisie	SGD	110	0.929883	19	17.7717	3963.82	205	39	159
DRB1	Matmata berbers	Tunisie	SGD	162	0.91201	26	17.6924	3990.99	205	39	159
DRB1	Tunisians	Tunisia	SGD	208	0.931239	36	20.5636	4216.52	205	39	159
DRB1	Zulu	South Africa	SGD	176	0.883537	24	15.7516	4415.86	225	45	173
DRB1	Cameroonese	Cameroon	SGD	252	0.868827	18	13.687	2603.76	226	48	171
DRB1	Cabo Verdeans (Northeast)	Cape Verde	SGD	124	0.940806	27	21.1798	6880.84	195	38	150
DRB1	Cabo Verdeans (Southwest)	Cape Verde	SGD	124	0.933528	25	18.7384	6775.38	195	38	150
DRB1	Guineans	Guinea-Bissau	SGD	130	0.90655	23	16.1003	5872.89	206	39	160
DRB1	Merina	Madagascar	SGD	326	0.871404	23	15.6798	3181.67	213	45	160
DRB1	Dogon	Mali	SGD	276	0.899657	19	15.3452	4639.56	218	42	168
DRB1	Aka Pygmies	Central African Republic	SGD	186	0.860799	16	11.2329	2408.5	227	50	170
DRB1	Shona	Zimbabwe	SGD	456	0.918598	26	16.4606	3318.06	217	44	165
DRB1	Yupik	USA	RGD	504	0.852277	21	10.8486	18522.85	240	48	186
DRB1	Lacandon	Mexico	RGD	324	0.643593	11	8.41843	25672.64	233	43	182
DRB1	Seri	Mexico	RGD	166	0.652792	6	4.52592	23460.02	233	43	182
DRB1	Seri	Mexico	RGD	64	0.646441	5	4.77976	23475.36	233	43	182
DRB1	Mexicans	Mexico	RGD	408	0.936876	36	21.4849	25045.54	233	43	182
DRB1	Mixteca Alta	Mexico	RGD	198	0.808673	14	9.52079	25378.04	233	43	182
DRB1	Zapotec	Mexico	RGD	162	0.862889	17	12.4984	25410.14	233	43	182
DRB1	Mixe	Mexico	RGD	96	0.705744	9	7.93054	25417.04	233	43	182
DRB1	Tarahumara	Mexico	RGD	88	0.755769	14	10.9613	23855.17	233	43	182
DRB1	Canoncito	USA	RGD	80	0.67875	8	6.87022	22806.36	240	48	186
DRB1	Sioux	USA	RGD	192	0.902842	24	15.5361	22714.61	240	48	186
DRB1	Zuni	USA	RGD	100	0.8002	9	8.40905	23145.86	240	48	186
DRB1	Guarani-Kaiowa	Brazil	RGD	288	0.79455	10	7.44284	30971.44	250	50	193
DRB1	Guarani-Nandewa	Brazil	RGD	106	0.80794	18	13.1449	31081.94	250	50	193
DRB1	Guarani	Brazil	RGD	64	0.707502	4	4	31235.34	250	50	193
DRB1	Kaingang	Brazil	RGD	56	0.611632	4	3.92857	31161.14	250	50	193
DRB1	Ticuna	Brazil	RGD	98	0.778862	9	8.06641	28704.14	250	50	193
DRB1	Yanomamo	Venezuela	RGD	110	0.829548	15	11.314	27956.54	230	46	176
DRB1	Venezuelans mestisos	Venezuela	SGD	52	0.948214	29	28.6704	27122.04	230	46	176
DRB1	Koreans	South Korea	SGD	398	0.937216	27	18.6368	10968.02	217	39	171
DRB1	Tuvinians	Russian Federation	SGD	378	0.944386	41	21.9946	8152	235	51	177
DRB1	Manchu	China	SGD	344	0.936006	30	20.2119	10524.9	245	49	187
DRB1	Koreans	China	SGD	398	0.944975	30	20.1048	10549	245	49	187
DRB1	Japanese	Japon	SGD	220	0.933433	24	18.8874	11883.33	215	38	171
DRB1	Mongolian	Mongolia	SGD	404	0.943055	34	20.818	9022.37	200	39	154
DRB1	Halkh	Mongolia	SGD	80	0.948125	29	24.4105	9022.37	200	39	154
DRB1	Hoton	Mongolia	SGD	168	0.930117	26	19.2066	7941.01	200	39	154
DRB1	Han	China	SGD	1234	0.937063	120	23.5965	13562.79	245	49	187
DRB1	Yao	China	SGD	126	0.899554	21	16.1062	11508.72	245	49	187
DRB1	Malay	Malaysia	SGD	108	0.847875	20	15.0045	11127.797	231	46	176
DRB1	Hakka	Taiwan	SGD	110	0.927291	21	18.0564	12590.22	212	40	165
DRB1	Bunun	Taiwan	RGD	202	0.842336	11	9.51567	12511.3	212	40	165
DRB1	Toroko	Taiwan	RGD	110	0.841148	10	9.4327	12389.46	212	40	165
DRB1	Ami	Taiwan	RGD	196	0.765734	9	7.38876	12690.79	212	40	165
DRB1	Paiwan	Taiwan	RGD	102	0.822937	12	9.29827	12443.34	212	40	165
DRB1	Yami	Taiwan	RGD	100	0.7592	8	7.16232	12502.75	212	40	165
DRB1	Puyuma	Taiwan	SGD	100	0.8698	13	11.8226	12461.44	212	40	165
DRB1	Pazeh	Taiwan	SGD	110	0.892735	16	13.3359	12537.07	212	40	165
DRB1	Minnan	Taiwan	SGD	204	0.914201	26	16.8234	12690.79	212	40	165
DRB1	Siraya	Taiwan	SGD	102	0.900058	16	14.1599	12395.93	212	40	165
DRB1	Tsou	Taiwan	RGD	102	0.820462	10	9.07258	12504.94	212	40	165
DRB1	Saisiyat	Taiwan	RGD	102	0.807587	11	9.03608	12576.74	212	40	165
DRB1	Atayal	Taiwan	RGD	212	0.854901	11	9.98574	12677.68	212	40	165
DRB1	Rukai	Taiwan	RGD	100	0.7826	9	8.21096	12461.44	212	40	165
DRB1	Thao	Taiwan	RGD	60	0.862759	13	12.3142	12530.58	212	40	165
DRB1	Thais	Thailand	SGD	284	0.923008	26	17.271	10716.039	235	42	186
DRB1	Kinh	Viet-Nam	SGD	204	0.864927	24	16.1784	11363.55	223	40	174
DRB1	Muong	Viet-Nam	SGD	166	0.882943	18	12.9669	11326.25	223	40	174
DRB1	Paiwan	Taiwan	RGD	130	0.884351	19	14.1838	12504.94	212	40	165
DRB1	Bahrainis	Bahrain	SGD	144	0.906746	22	15.8132	4474.85	187	37	143
DRB1	Svans	Georgia	SGD	160	0.924687	37	21.5377	4249.81	201	41	154
DRB1	Indians	India	SGD	218	0.908039	22	15.6416	7455.38	245	51	185
DRB1	Ashkenazi jews	Israel	SGD	80	0.933438	20	18.7417	2892.43	200	39	154
DRB1	Moroccan jews	Israel	SGD	80	0.9075	17	15.5847	2892.43	200	39	154
DRB1	Libyen jews	Israel	SGD	80	0.894375	18	16.3697	2892.43	200	39	154
DRB1	Libanese	Liban	SGD	510	0.923271	38	19.2853	3029.381	194	38	149
DRB1	Libanese	Liban	SGD	382	0.852334	21	13.0669	3113.115	194	38	149
DRB1	Libanese	Liban	SGD	190	0.814956	21	13.7567	3113.115	194	38	149
DRB1	Turks	Turquie	SGD	490	0.945693	35	21.276	3706.95	214	41	166
DRB1	Australian aborigines (Kimberley)	Australia	SGD	82	0.841756	12	10.6937	14240.33	210	42	161
DRB1	Australian aborigines (Cape York)	Australia	SGD	198	0.839044	22	14.8355	15293.22	210	42	161
DRB1	Australian aborigines (Yuendumu)	Australia	SGD	380	0.811614	14	8.6021	14981.89	210	42	161
DRB1	Azoreans	Azores	SGD	462	0.891984	33	20.9555	8448.38	183	35	141
DRB1	Croatian	Croatie	SGD	200	0.91555	25	16.2646	4903.65	204	38	160
DRB1	Croatian	Croatie	SGD	278	0.938633	30	19.3274	4837.89	204	38	160
DRB1	Spanish	Spain	SGD	198	0.919961	30	18.12	6355.6	205	39	160
DRB1	Spanish	Spain	SGD	138	0.933557	27	19.3996	6355.6	205	39	160
DRB1	French	France	SGD	468	0.930764	36	18.1467	5902.63	214	41	167
DRB1	Neandertal	France	SGD	20	1.02135	35	18.1467	6500	211	41	164
DRB1	Greeks	Greece	SGD	384	0.915144	35	18.4018	4120.062	203	38	158
DRB1	Pomaki	Greece	SGD	200	0.896592	18	13.0515	4005.966	203	38	158
DRB1	Irish	Irland	SGD	2000	0.889485	33	14.6395	6676.16	189	36	147
DRB1	Sardinians	Italy	SGD	160	0.900644	21	15.3904	5323.83	210	42	162
DRB1	Italians	Italy	SGD	196	0.919726	25	17.3291	5297.93	210	42	162
DRB1	Polish	Poland	SGD	196	0.927713	38	21.5658	5239.84	199	37	155
DRB1	Portuguese	Portugal	SGD	290	0.929868	36	20.1727	6740.19	203	40	157
DRB1	Czechs	Czech Republic	SGD	72	0.920903	20	18.0011	5182.27	205	43	155
DRB1	Czech Gypsies	Czech Republic	SGD	66	0.909988	19	17.6727	5182.27	205	43	155
DRB1	Czechs	Czech Republic	SGD	206	0.921858	30	18.2805	5175.9	205	43	155
DRB1	Romanians	Roumania	SGD	198	0.926412	24	17.672	4111.638	202	40	155
DRB1	Slovenians	Slovenia	SGD	200	0.9216	25	16.3207	4973.11	204	40	158
DRB1	Moluccans	Indonesia	RGD	80	0.747812	11	10.3912	13156.27	238	47	183
DRB1	East Timorese	Timor orientale	RGD	166	0.735523	18	12.4081	13445.96	234	45	182
DRB1	Papua New Guinea Lowlanders	Papua New Guinea	RGD	160	0.591845	5	3.64999	15621.59	206	41	158
DRB1	Papua New Guinea Highlanders	Papua New Guinea	SGD	172	0.853962	15	11.0583	15103.04	206	41	158
DRB1	Maori	New Zealand	SGD	400	0.895875	31	15.3179	19487.85	188	34	147
DRB1	Ivatan	Phillipines	SGD	100	0.7622	12	9.96993	12424.81	222	43	171
DRB1	Filipinos	Phillipines	SGD	188	0.764857	21	13.3065	12116.54	222	43	171
